Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg00013196;DCAF4L2;-2,35413;-0,03797;8;8,89E+07;NM_152418;1stExon;N_Shore;0,0382745;;;
cg00013301;;-2,73058;-0,088259;4;7,29E+07;;;N_Shelf;0,0403813;;;
cg00013369;;-1,17229;-0,016395;1;1,93E+08;;;;0,0404461;;;
cg00013618;;7,28421;0,163519;22;2,24E+07;;;;0,0382745;;;
cg00015024;CCNJ;-7,07136;-0,1590335;10;9,78E+07;"NM_001134376;NM_019084;NM_001134375";"TSS200;TSS200;TSS200";Island;0,0425014;;;
cg00015340;;7,33461;0,164807;6;1,91E+07;;;;0,0449053;;;
cg00015770;QRFPR;-14,3674;-0,279066;4;1,22E+08;"NM_198179;NM_198179";"1stExon;5'UTR";Island;0,0447727;;;
cg00016255;AARSD1;5,56033;0,1767125;17;4,11E+07;"NM_001142653;NM_001136042;NM_173079;NM_001142654";"TSS1500;TSS1500;Body;TSS1500";S_Shore;0,0445219;;;
cg00016934;BCOR;3,89595;0,113545;X;4,00E+07;"NM_001123384;NM_001123383";"5'UTR;5'UTR";Island;0,0400885;;;
cg00017002;PGBD1;2,50882;0,02902185;6;2,82E+07;NM_032507;TSS200;Island;0,0382745;;;
cg00017059;SRBD1;2,25473;0,048409;2;4,58E+07;NM_018079;Body;;0,0497163;;;
cg00017062;;-3,63262;-0,1120745;15;7,07E+07;;;;0,0470311;;;
cg00017461;OSM;23,3906;0,18064;22;3,07E+07;NM_020530;TSS1500;;0,0382745;;;
cg00017546;MED18;8,62547;0,1678825;1;2,87E+07;"NM_017638;NM_001127350";"Body;Body";S_Shelf;0,0489236;;;
cg00017826;;7,22489;0,183798;2;3,06E+07;;;;0,0450047;;;
cg00018198;CEP68;11,3614;0,174224;2;6,53E+07;NM_015147;Body;;0,0425014;;;
cg00018229;TTC13;6,5947;0,0983345;1;2,31E+08;"NM_001122835;NM_022786;NM_024525";"Body;TSS1500;Body";;0,0469623;;;
cg00019082;SLC6A1;-9,33309;-0,2202235;3;1,11E+07;NM_003042;5'UTR;N_Shore;0,0418123;;;
cg00019118;GALNT9;4,11623;0,1314275;12;1,33E+08;"NM_001122636;NR_024563";"Body;TSS1500";N_Shelf;0,0382745;;;
cg00019778;IGF2R;2,55567;0,0537435;6;1,60E+08;NM_000876;Body;Island;0,0422328;;;
cg00020799;PLXNC1;-3,22385;-0,1250865;12;9,46E+07;NM_005761;Body;;0,0465677;;;
cg00021030;FLOT2;-8,24943;-0,199108;17;2,72E+07;"NM_004475;NM_144683";"TSS1500;Body";S_Shore;0,0467213;;;
cg00021513;;6,13677;0,1387995;16;8,52E+07;;;;0,0412937;;;
cg00022145;;-2,66695;-0,1058435;22;4,95E+07;;;S_Shelf;0,0403345;;;
cg00022259;GOLGA3;-1,28068;-0,0118935;12;1,33E+08;NM_005895;Body;;0,0484876;;;
cg00022492;GCHFR;3,72694;0,1136735;15;4,11E+07;NM_005258;TSS1500;Island;0,0391234;;;
cg00022558;FGF4;5,08154;0,173626;11;6,96E+07;NM_002007;TSS200;Island;0,0485621;;;
cg00022606;TBC1D20;1,92681;0,054704;20;442445;NM_144628;Body;N_Shore;0,0457209;;;
cg00022688;ACSL5;5,34772;0,174548;10;1,14E+08;"NM_016234;NM_203379;NM_016234;NM_203380";"5'UTR;5'UTR;1stExon;5'UTR";;0,0492635;;;
cg00022911;HAPLN4;4,59525;0,163534;19;1,94E+07;NM_023002;Body;Island;0,0406504;;;
cg00023154;RNF220;2,33509;0,0918065;1;4,49E+07;NM_018150;5'UTR;Island;0,0440156;;;
cg00024046;;14,3403;0,1801085;2;2,04E+07;;;;0,0382745;;;
cg00024086;;5,75838;0,167903;7;1,57E+08;;;Island;0,0450897;;;
cg00024396;ELOVL5;14,9335;0,2349375;6;5,32E+07;NM_021814;TSS200;Island;0,0382745;;;
cg00024472;NGFR;17,366;0,1893675;17;4,76E+07;NM_002507;Body;Island;0,0483204;;;
cg00024812;ITGB1BP1;6,3314;0,08996725;2;9,56E+06;"NM_022334;NM_004763;NM_016207";"TSS1500;TSS1500;Body";Island;0,0465447;;;
cg00025439;;-2,82537;-0,0787825;16;8,79E+07;;;;0,0441019;;;
cg00025823;CRHR1;9,38179;0,2002705;17;4,39E+07;"NM_001145148;NM_004382;NM_001145147;NM_001145146";"Body;Body;Body;Body";;0,0389586;;;
cg00025981;C13orf15;10,029;0,2260005;13;4,20E+07;NM_014059;TSS1500;Island;0,0403813;;;
cg00026075;;1,81811;0,032605;3;1,72E+08;;;N_Shelf;0,0382745;;;
cg00027114;;2,71765;0,0968795;7;4,27E+07;;;;0,043454;;;
cg00027120;TAS2R39;2,18291;0,084466;7;1,43E+08;NM_176881;1stExon;;0,0391234;;;
cg00027586;;4,43434;0,126008;18;7,61E+07;;;N_Shore;0,0434887;;;
cg00028487;ZNF808;-19,9871;-0,275093;19;5,30E+07;NM_001039886;TSS200;N_Shore;0,0408631;;;
cg00028935;ZIC4;8,46375;0,1833185;3;1,47E+08;"NM_001168378;NM_032153;NM_001168379";"Body;Body;Body";Island;0,0421247;;;
cg00029353;;3,88615;0,099777;12;5,22E+07;;;Island;0,04824;;;
cg00029922;;10,8491;0,161497;2;1,92E+08;;;;0,0434887;;;
cg00030047;RNF207;7,34201;0,12733;1;6,27E+06;NM_207396;Body;N_Shore;0,0347648;;;
cg00030296;09-Sep;5,98447;0,1384475;17;7,53E+07;"NM_001113492;NM_001113491;NM_006640";"5'UTR;Body;Body";;0,0474784;;;
cg00030604;;3,18249;0,1229525;1;2,38E+06;;;;0,0480327;;;
cg00031165;RUNDC3B;2,15585;0,0768945;7;8,73E+07;"NM_001134406;NM_000927;NM_001134405;NM_138290";"Body;5'UTR;Body;Body";Island;0,0440971;;;
cg00031973;;5,08151;0,1281985;7;4,78E+07;;;;0,0382745;;;
cg00032609;ATP5E;2,63779;0,1002595;20;5,76E+07;"NM_001001977;NM_006886";"Body;Body";N_Shore;0,0415814;;;
cg00032610;;-5,6776;-0,117439;8;711064;;;;0,045755;;;
cg00033209;NAT15;3,60923;0,097148;16;3,51E+06;"NM_001083601;NM_001083600;NM_024845";"5'UTR;5'UTR;5'UTR";S_Shelf;0,0460545;;;
cg00033834;KNDC1;-4,82575;-0,166019;10;1,35E+08;NM_152643;Body;Island;0,0382745;;;
cg00034611;C16orf81;1,73286;0,05839;16;8,92E+07;NR_024347;Body;N_Shelf;0,044647;;;
cg00035197;CBFA2T3;-1,42481;-0,035798;16;8,90E+07;"NM_175931;NM_005187";"Body;Body";Island;0,0493944;;;
cg00035326;MTG1;1,7496;0,055438;10;1,35E+08;NM_138384;Body;S_Shore;0,0439487;;;
cg00036408;;-4,04562;-0,1385;17;7,93E+07;;;Island;0,0382745;;;
cg00037013;;2,28058;0,0660315;2;2,20E+08;;;N_Shore;0,0397962;;;
cg00037441;RFX6;-2,0523;-0,064972;6;1,17E+08;"NM_173560;NM_173560";"5'UTR;1stExon";Island;0,0462371;;;
cg00038446;FASLG;11,8354;0,1758285;1;1,73E+08;NM_000639;3'UTR;;0,0437997;;;
cg00039480;SLC47A2;4,86912;0,169528;17;1,96E+07;"NM_001099646;NM_152908";"TSS1500;TSS1500";S_Shelf;0,0382745;;;
cg00040411;;-3,18132;-0,1222345;6;1,64E+08;;;Island;0,0444804;;;
cg00040455;NR0B1;5,80416;0,187728;X;3,03E+07;NM_000475;1stExon;Island;0,0397855;;;
cg00040873;NDUFB10;18,1722;0,296149;16;2,01E+06;NM_004548;TSS1500;N_Shore;0,0455398;;;
cg00041270;;1,46937;0,020045;4;2,60E+07;;;;0,0456669;;;
cg00041368;DLGAP1;-3,58216;-0,078493;18;3,88E+06;NM_004746;1stExon;N_Shore;0,0382745;;;
cg00041575;C11orf21;4,25054;0,116648;11;2,32E+06;"NR_024621;NM_139022;NM_001142946";"Body;TSS1500;Body";;0,0403116;;;
cg00041636;;3,05378;0,098162;15;7,90E+07;;;;0,0399144;;;
cg00045439;AIMP1;4,21849;0,151579;4;1,07E+08;"NM_004757;NM_001163437;NM_001142416;NM_033115;NM_001142415;NM_001163435;NM_001163436";"5'UTR;TSS1500;Body;TSS1500;5'UTR;TSS1500;TSS1500";;0,0444039;;;
cg00045607;ARHGAP30;5,49611;0,168068;1;1,61E+08;"NM_181720;NM_001025598;NM_181720;NM_001025598";"1stExon;5'UTR;5'UTR;1stExon";;0,0441134;;;
cg00045910;;1,79168;0,0309315;10;2,35E+07;;;S_Shelf;0,0467116;;;
cg00047338;BAHCC1;6,51998;0,160963;17;7,94E+07;NM_001080519;Body;N_Shore;0,0407467;;;
cg00047815;PHF21B;-3,41802;-0,096105;22;4,53E+07;"NM_138415;NM_001135862";"Body;Body";N_Shore;0,0382745;;;
cg00049502;C12orf47;3,94617;0,103823;12;1,12E+08;"NR_015404;NM_003668;NM_139078";"TSS1500;Body;Body";S_Shore;0,0498379;;;
cg00049595;;12,2957;0,262536;6;4,17E+07;;;N_Shore;0,0408631;;;
cg00050250;ACMSD;-6,92212;-0,1934515;2;1,36E+08;NM_138326;Body;;0,0486385;;;
cg00050336;C1QTNF7;-2,16765;-0,0614265;4;1,54E+07;"NM_001135170;NM_001135171";"Body;5'UTR";;0,0478847;;;
cg00051154;;4,86491;0,1190745;2;2,37E+08;;;N_Shore;0,0399144;;;
cg00053073;PDE4C;3,17618;0,080457;19;1,83E+07;"NM_001098818;NM_000923";"1stExon;Body";Island;0,0455252;;;
cg00053373;ATP1B2;-2,81466;-0,1114345;17;7,55E+06;"NM_001678;NM_001678";"1stExon;5'UTR";Island;0,0418743;;;
cg00053916;;3,64022;0,138204;8;3,75E+07;;;;0,0426617;;;
cg00054409;;-5,76017;-0,15136;6;3,13E+07;;;;0,0390167;;;
cg00054771;;-9,75212;-0,230741;2;1,75E+08;;;Island;0,0390167;;;
cg00055292;RADIL;9,04484;0,179755;7;4,85E+06;NM_018059;Body;N_Shore;0,0407016;;;
cg00055557;DOK5;-2,79607;-0,110723;20;5,31E+07;"NM_018431;NM_018431";"1stExon;5'UTR";;0,0424192;;;
cg00055764;RIMBP2;-4,62373;-0,15981;12;1,31E+08;NM_015347;Body;;0,0437283;;;
cg00056676;SLCO4C1;-1,37829;-0,0226065;5;1,02E+08;NM_180991;1stExon;N_Shore;0,0423301;;;
cg00056754;DUSP27;-2,77884;-0,110109;1;1,67E+08;NM_001080426;TSS200;;0,0399885;;;
cg00057393;;3,28721;0,103816;15;9,69E+07;;;Island;0,0471207;;;
cg00057593;GML;5,821;0,1683875;8;1,44E+08;NM_002066;5'UTR;S_Shore;0,0441203;;;
cg00057603;;3,75571;0,1417445;20;1,72E+06;;;N_Shore;0,0459194;;;
cg00057722;;8,2264;0,13688;18;4,59E+07;;;N_Shore;0,0393001;;;
cg00057966;MIR142;1,9549;0,037187;17;5,64E+07;NR_029683;TSS200;;0,0409077;;;
cg00058708;UBXN2A;15,1788;0,21596;2;2,42E+07;NM_181713;TSS1500;N_Shore;0,0382745;;;
cg00060061;;-2,32659;-0,079394;8;1,13E+08;;;;0,0404461;;;
cg00060304;PAX6;3,11703;0,1123835;11;3,18E+07;NM_001127612;5'UTR;Island;0,0476093;;;
cg00062282;PLXNB2;4,26521;0,121789;22;5,07E+07;NM_012401;TSS1500;S_Shore;0,0496027;;;
cg00064080;;-12,4282;-0,2134665;10;1,23E+08;;;;0,0400521;;;
cg00065570;SLC39A4;3,41478;0,130008;8;1,46E+08;"NM_130849;NM_017767";"1stExon;TSS200";Island;0,0448377;;;
cg00065726;FAM43A;8,69923;0,1712445;3;1,94E+08;"NM_153690;NM_153690";"5'UTR;1stExon";Island;0,0441203;;;
cg00065957;FAM159A;-5,83378;-0,167009;1;5,31E+07;NM_001042693;Body;S_Shore;0,0382745;;;
cg00066942;EPC2;11,8355;0,251009;2;1,49E+08;NM_015630;TSS1500;N_Shore;0,0445165;;;
cg00067518;CAMTA1;6,31911;0,142483;1;7,76E+06;NM_015215;Body;N_Shore;0,0408982;;;
cg00067600;;-5,85968;-0,1759145;3;3,41E+07;;;;0,0394836;;;
cg00067606;ADCYAP1;-2,82468;-0,071551;18;908130;"NM_001099733;NM_001117";"Body;Body";Island;0,0391234;;;
cg00067720;PIK3R1;6,30943;0,194068;5;6,75E+07;NM_181523;TSS1500;;0,0487017;;;
cg00068155;CPNE4;2,56927;0,082423;3;1,32E+08;NM_130808;TSS1500;Island;0,043799;;;
cg00068503;COL9A2;-2,48697;-0,0965425;1;4,08E+07;NM_001852;Body;Island;0,043799;;;
cg00068810;PARM1;2,54468;0,090002;4;7,59E+07;NM_015393;TSS1500;N_Shore;0,0408874;;;
cg00070052;POLE3;-2,91234;-0,1021785;9;1,16E+08;"NR_027261;NM_152786;NM_017443";"Body;TSS1500;Body";N_Shore;0,0382745;;;
cg00071265;PSMA7;1,74472;0,036938;20;6,07E+07;NM_002792;Body;;0,0436703;;;
cg00071565;ODC1;1,31682;0,0029217;2;1,06E+07;NM_002539;TSS200;Island;0,0479791;;;
cg00071984;FHIT;-6,67862;-0,1828115;3;6,06E+07;"NM_001166243;NM_002012";"5'UTR;5'UTR";;0,0479936;;;
cg00072288;NAA10;1,69817;0,0130028;X;1,53E+08;NM_003491;TSS200;Island;0,0429711;;;
cg00072675;;2,22259;0,041002;1;5,69E+07;;;N_Shore;0,0444792;;;
cg00072711;C9orf24;4,83661;0,1620305;9;3,44E+07;"NM_147168;NM_147169;NM_032596";"Body;Body;Body";Island;0,0448017;;;
cg00073003;SOX1;6,38261;0,1779315;13;1,13E+08;"NM_005986;NM_005986";"1stExon;3'UTR";N_Shore;0,0415348;;;
cg00073460;ZC3H12D;12,6783;0,260989;6;1,50E+08;NM_207360;TSS1500;;0,0400103;;;
cg00074471;PDE11A;1,97745;0,0572975;2;1,79E+08;"NM_001077197;NM_016953";"Body;Body";;0,0408874;;;
cg00075634;HELT;-22,366;-0,3219255;4;1,86E+08;NM_001029887;Body;Island;0,0391234;;;
cg00076325;;12,1664;0,1938995;2;1,73E+08;;;S_Shore;0,0437819;;;
cg00076497;GRM8;-3,08768;-0,1180945;7;1,27E+08;NM_001127323;5'UTR;Island;0,0405185;;;
cg00076543;HLA-L;3,33335;0,1039685;6;3,02E+07;NR_027822;TSS200;N_Shore;0,0404951;;;
cg00076645;UBTD2;5,64475;0,171593;5;1,72E+08;NM_152277;TSS1500;Island;0,0414824;;;
cg00077586;CXADR;12,8727;0,11463325;21;1,89E+07;NM_001338;TSS1500;Island;0,0453662;;;
cg00077838;;3,24026;0,1268345;22;4,70E+07;;;N_Shore;0,0395279;;;
cg00078299;ZHX1;-3,60802;-0,1262685;8;1,24E+08;"NM_007222;NM_001017926";"5'UTR;5'UTR";N_Shore;0,0434742;;;
cg00079563;ARFGAP3;10,2346;0,1682405;22;4,33E+07;"NM_014570;NM_001142293";"TSS200;TSS200";Island;0,0391234;;;
cg00080068;;-17,4183;-0,272884;2;2,43E+08;;;N_Shore;0,0455673;;;
cg00080188;;11,2206;0,2152135;10;2,16E+07;;;;0,0465817;;;
cg00080333;;-71,3098;-0,4302215;4;1,84E+08;;;;0,0387662;;;
cg00081935;TSPAN9;4,11211;0,1521925;12;3,19E+06;"NM_001168320;NM_006675";"5'UTR;5'UTR";Island;0,0394518;;;
cg00083188;KCNMA1;2,65913;0,053166;10;7,93E+07;"NM_001161353;NM_001161352;NM_002247;NM_001014797";"Body;Body;Body;Body";;0,0490651;;;
cg00083265;KIAA0415;-1,64437;-0,0188295;7;4,82E+06;NM_014855;Body;N_Shelf;0,0382745;;;
cg00083616;KRTDAP;3,16569;0,098769;19;3,60E+07;NM_207392;TSS200;;0,0408631;;;
cg00084202;TSNARE1;4,79419;0,098251;8;1,43E+08;NM_145003;Body;;0,0460639;;;
cg00084271;ATP1A4;6,06715;0,179861;1;1,60E+08;"NM_144699;NM_144699";"1stExon;5'UTR";;0,0410366;;;
cg00085199;TRAPPC9;-2,20161;-0,079372;8;1,41E+08;"NM_001160372;NM_031466";"Body;Body";N_Shore;0,0391849;;;
cg00085434;;-5,18572;-0,1718205;11;1,49E+07;;;Island;0,0414687;;;
cg00085790;;1,27383;0,0139355;1;2,12E+08;;;;0,0478328;;;
cg00086243;TNFRSF18;9,56258;0,225501;1;1,14E+06;"NM_148902;NM_148901;NM_004195";"TSS1500;TSS1500;TSS1500";S_Shore;0,0434341;;;
cg00086670;AS3MT;3,72693;0,1416465;10;1,05E+08;NM_020682;TSS200;Island;0,0469862;;;
cg00087274;SLC12A8;4,75665;0,1652345;3;1,25E+08;NM_024628;Body;N_Shelf;0,041729;;;
cg00087316;;-4,05175;-0,114696;4;1,81E+08;;;N_Shore;0,0382745;;;
cg00087546;PRDM16;4,17838;0,123008;1;3,31E+06;"NM_022114;NM_199454";"Body;Body";N_Shore;0,0464224;;;
cg00088410;;-1,70526;-0,027327;3;7,26E+07;;;;0,0419015;;;
cg00088844;;-1,64474;-0,0465365;12;5,23E+07;;;;0,039009;;;
cg00089214;EP400;11,6586;0,2369485;12;1,33E+08;NM_015409;Body;S_Shore;0,0469468;;;
cg00089314;LOC153328;-8,69481;-0,1794825;5;1,35E+08;NM_145282;TSS1500;N_Shore;0,0382745;;;
cg00089453;SYNPO;8,01574;0,1593605;5;1,50E+08;"NM_001166208;NM_001166209";"Body;Body";N_Shore;0,0496277;;;
cg00089464;LOC285830;-2,09826;-0,0798915;6;2,97E+07;"NR_026972;NR_026973";"TSS1500;TSS1500";S_Shore;0,0382745;;;
cg00089486;SHOX2;22,2073;0,2721665;3;1,58E+08;"NM_001163678;NM_006884;NM_003030";"Body;Body;Body";S_Shore;0,0420198;;;
cg00090091;;-1,4623;-0,017197;13;1,07E+08;;;;0,0485097;;;
cg00090674;IL17REL;-25,5109;-0,330967;22;5,04E+07;NM_001001694;5'UTR;N_Shore;0,0473015;;;
cg00090764;MORN1;3,05103;0,101209;1;2,26E+06;NM_024848;Body;Island;0,0446697;;;
cg00091285;;3,77842;0,0782995;1;9,85E+07;;;Island;0,0447808;;;
cg00091483;PEBP1;2,38435;0,0469785;12;1,19E+08;NM_002567;Body;S_Shore;0,0429297;;;
cg00092309;;-14,3872;-0,2589245;4;1,86E+08;;;N_Shelf;0,0394157;;;
cg00092400;;-1,57643;-0,03266;12;5,18E+07;;;S_Shelf;0,0499624;;;
cg00093058;RHOT2;4,90359;0,120845;16;717932;NM_138769;TSS200;Island;0,0394157;;;
cg00093794;TTC22;-9,09282;-0,1307265;1;5,53E+07;"NM_017904;NM_001114108";"3'UTR;Body";S_Shelf;0,0382745;;;
cg00094244;;-8,87339;-0,228752;5;1,31E+08;;;N_Shore;0,0412408;;;
cg00094359;;11,2784;0,2553655;2;1,77E+08;;;N_Shore;0,0406496;;;
cg00094518;KLF14;3,47491;0,1049505;7;1,30E+08;NM_138693;1stExon;Island;0,0462955;;;
cg00095493;ERGIC3;-3,19845;-0,064287;20;3,41E+07;"NM_198398;NM_015966";"Body;Body";Island;0,0423338;;;
cg00095688;PRKCZ;-3,78662;-0,133378;1;2,00E+06;"NM_001033581;NM_002744";"TSS1500;Body";N_Shore;0,0391234;;;
cg00096742;MIR770;4,25278;0,130292;14;1,01E+08;"NR_030528;NR_003531;NR_003530;NR_002766";"TSS1500;Body;Body;Body";;0,0437997;;;
cg00097432;ZBTB20;3,40687;0,044873;3;1,14E+08;"NM_001164345;NM_001164346;NM_001164347;NM_001164344;NM_015642;NM_001164343;NM_001164342";"5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS200";;0,0450999;;;
cg00098029;;-2,39432;-0,0869745;4;1,88E+08;;;Island;0,0492368;;;
cg00098182;CYFIP1;3,0704;0,08827;15;2,30E+07;"NM_014608;NM_001033028";"Body;Body";;0,0382745;;;
cg00098297;FBXW8;-5,38958;-0,095849;12;1,17E+08;"NM_153348;NM_012174";"Body;Body";;0,0410493;;;
cg00098304;;20,3146;0,293075;15;9,36E+07;;;;0,0394157;;;
cg00098799;IGF1R;21,9171;0,1998165;15;9,94E+07;NM_000875;Body;;0,042789;;;
cg00098985;SNPH;11,2051;0,20005;20;1,28E+06;NM_014723;5'UTR;N_Shore;0,0402222;;;
cg00099091;HAGHL;12,7342;0,2140845;16;776809;"NM_032304;NM_207112;NM_001031737";"TSS1500;TSS200;TSS1500";Island;0,0430712;;;
cg00099869;PRKG1;-3,10163;-0,122122;10;5,28E+07;NM_001098512;Body;Island;0,0382745;;;
cg00099976;SHISA2;4,11799;0,116343;13;2,66E+07;NM_001007538;TSS200;Island;0,0445771;;;
cg00100440;;-5,30906;-0,14161;12;7,89E+07;;;;0,0499075;;;
cg00100680;D4S234E;-8,61063;-0,1328035;4;4,41E+06;"NM_014392;NM_001040101";"Body;Body";;0,0415814;;;
cg00100703;UNC45B;3,64894;0,1394435;17;3,35E+07;"NM_173167;NM_001033576";"3'UTR;3'UTR";;0,0486171;;;
cg00102439;;-3,17311;-0,0821355;8;1,44E+06;;;Island;0,0445771;;;
cg00102685;;6,52958;0,1698405;3;1,87E+08;;;N_Shelf;0,0452588;;;
cg00103785;;3,28825;0,093474;1;1,55E+08;;;N_Shore;0,0454285;;;
cg00104608;;11,5921;0,2482475;3;7,61E+07;;;;0,0428365;;;
cg00105852;FBRSL1;2,41585;0,053419;12;1,33E+08;NM_001142641;Body;N_Shelf;0,0397962;;;
cg00106164;GKAP1;3,20786;0,056552;9;8,64E+07;"NM_025211;NM_001135953";"5'UTR;5'UTR";Island;0,0458574;;;
cg00106250;NCL;3,04358;0,084256;2;2,32E+08;NM_005381;TSS1500;Island;0,0398626;;;
cg00106432;ADAMTSL3;2,56582;0,0962595;15;8,45E+07;NM_207517;Body;;0,0469468;;;
cg00106925;;-5,35179;-0,180063;21;4,59E+07;;;N_Shelf;0,0382745;;;
cg00107046;EPHA2;6,30137;0,08837725;1;1,65E+07;NM_004431;Body;S_Shore;0,0477569;;;
cg00108164;ACP1;5,96177;0,128537;2;264199;"NR_024080;NM_015677;NM_001159597;NM_004300;NM_001040649;NM_007099";"TSS1500;TSS200;TSS200;TSS1500;TSS1500;TSS1500";Island;0,0465817;;;
cg00109012;TMEM192;4,82164;0,116049;4;1,66E+08;NM_001100389;Body;N_Shore;0,0423518;;;
cg00109703;;-1,74485;-0,0553415;20;3,93E+07;;;N_Shore;0,0432319;;;
cg00109764;;112,789;0,25370495;3;4,38E+07;;;;0,042418;;;
cg00110623;TNIP1;5,24329;0,1310865;5;1,50E+08;NM_006058;TSS200;S_Shore;0,0391234;;;
cg00110688;NUDT4;2,02645;0,050934;12;9,38E+07;"NM_199040;NR_002212;NM_019094";"TSS1500;TSS1500;TSS1500";N_Shore;0,0426721;;;
cg00111823;SLC16A8;48,6431;0,3226345;22;3,85E+07;NM_013356;TSS200;S_Shore;0,0452795;;;
cg00112588;LOC100302401;8,06744;0,1632925;1;1,78E+08;"NR_027982;NM_170692";"Body;TSS1500";N_Shore;0,0461316;;;
cg00112929;PYHIN1;11,1537;0,242621;1;1,59E+08;"NM_198930;NM_198928;NM_198929;NM_152501";"5'UTR;5'UTR;5'UTR;5'UTR";;0,0436278;;;
cg00112952;OR2B11;-11,4647;-0,2220535;1;2,48E+08;NM_001004492;TSS1500;S_Shore;0,0427404;;;
cg00113663;;-3,37503;-0,13121;5;82243;;;N_Shore;0,0410914;;;
cg00114012;SLC2A8;10,476;0,1756525;9;1,30E+08;NM_014580;TSS1500;Island;0,0423873;;;
cg00114694;PHGR1;1,7868;0,054594;15;4,06E+07;NM_001145643;5'UTR;;0,0413124;;;
cg00116265;ZNF673;-9,13482;-0,2212175;X;4,63E+07;"NM_001129900;NM_001129898;NM_017776;NM_001129899";"TSS1500;TSS1500;TSS1500;TSS1500";N_Shore;0,0430768;;;
cg00116412;SLC27A2;2,19094;0,0718065;15;5,05E+07;"NM_003645;NM_003645;NM_001159629;NM_001159629";"5'UTR;1stExon;5'UTR;1stExon";Island;0,0404461;;;
cg00117599;;-4,95916;-0,1714455;17;4,60E+07;;;;0,0392619;;;
